shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
HKG,0,0.24611110985279083,0,8.136363983154297,10.049750328063965,2.7013611793518066,1,0,1,NA,NA,22.600000381469727,1,0.24611100554466248
HND,0,0.1666666716337204,0.012000000104308128,5.318181991577148,7.687080383300781,4.357990264892578,0,1,1,69.4000015258789,35,25.399999618530273,0.66860198974609375,0.16666699945926666
HRV,0,0.5011110901832581,0,NA,8.418477058410645,NA,0,0,NA,NA,NA,NA,NA,NA
HTI,0,0.21111111342906952,1,3.7272727489471436,7.146772384643555,4.867534637451172,0,1,1,53.75,67.69999694824219,26.58032989501953,1,0.21111099421977997
HUN,0,0.5222222208976746,0,9,8.809863090515137,NA,0,0,NA,NA,NA,NA,NA,NA
IDN,0,0.05559999868273735,0.17872999608516693,7.590909004211426,8.070905685424805,5.135798454284668,1,1,1,65.12999725341797,48.400001525878906,26.799999237060547,0.7457600235939026,0.05555599927902222
IND,0,0.22220000624656677,0.2359600067138672,8.272727012634277,7.326000213623047,3.8842406272888184,1,0,1,62.59000015258789,72.30000305175781,25.899999618530273,0.15677599608898163,0.2222220003604889
IRL,0,0.5888888835906982,0,9.727272987365723,9.769384384155273,NA,0,0,NA,NA,NA,NA,NA,NA
IRN,0,0.35555556416511536,0.11899999529123306,4.7727274894714355,8.605203628540039,NA,1,0,NA,NA,NA,NA,NA,NA
IRQ,0,0.36666667461395264,0.007279999554157257,1.6363636255264282,NA,NA,1,0,NA,NA,NA,NA,NA,NA
ISL,0,0.7222222089767456,0,9.727272987365723,9.943669319152832,NA,0,0,NA,NA,NA,NA,NA,NA
ISR,0,0.347777783870697,0,8.545454978942871,9.784140586853027,NA,1,0,NA,NA,NA,NA,NA,NA
ITA,0,0.4722222089767456,0,9.454545021057129,9.897972106933594,NA,0,0,NA,NA,NA,NA,NA,NA
JAM,0,0.2016666680574417,0,7.090909004211426,8.188689231872559,4.867534637451172,0,1,1,74.81999969482422,21.899999618530273,26.5,1,0.20166699588298798
JOR,0,0.3444444537162781,0,6.7727274894714355,8.171881675720215,NA,1,0,NA,NA,NA,NA,NA,NA
JPN,0,0.4000000059604645,0,9.727272987365723,10.034076690673828,NA,1,0,NA,NA,NA,NA,NA,NA
KAZ,0,0.5333333611488342,0,NA,8.13153076171875,NA,1,0,NA,NA,NA,NA,NA,NA
KEN,1,0.011111111380159855,0.7979999780654907,6.045454502105713,7.056175231933594,4.976733684539795,0,1,1,52.040000915527344,65.5,22.600000381469727,0.08250399678945541,0.011110999621450901
KGZ,0,0.4555555582046509,0,NA,7.575584888458252,NA,1,0,NA,NA,NA,NA,NA,NA
KOR,0,0.41111111640930176,0,8.636363983154297,9.415727615356445,4.770684719085693,1,0,NA,NA,NA,NA,NA,NA
KWT,0,0.3255555331707001,0,7.045454502105713,9.803667068481445,NA,1,0,NA,NA,NA,NA,NA,NA
LAO,0,0.20000000298023224,0.8630000352859497,NA,7.090076923370361,4.9416422843933105,1,1,NA,NA,NA,NA,NA,NA
LBR,1,0.07000000029802322,0.949999988079071,3.6363637447357178,NA,6.18001651763916,0,1,NA,NA,NA,NA,NA,NA
LBY,1,0.2777777910232544,0,5.2727274894714355,NA,NA,0,0,NA,NA,NA,NA,NA,NA
LKA,0,0.07777778059244156,0.1379999965429306,6.045454502105713,7.731930732727051,4.245634078979492,1,1,1,73.11000061035156,17.600000381469727,27.600000381469727,0.993619978427887,0.07777799665927887
LSO,1,0.3255555331707001,0,NA,7.3065314292907715,NA,0,1,NA,NA,NA,NA,NA,NA
LTU,0,0.6222222447395325,0,NA,8.237479209899902,NA,0,0,NA,NA,NA,NA,NA,NA
LUX,0,0.5494444370269775,0,10,10.288749694824219,NA,0,0,NA,NA,NA,NA,NA,NA
LVA,0,0.6333333253860474,0,NA,8.15478801727295,NA,0,0,NA,NA,NA,NA,NA,NA
MAR,1,0.35555556416511536,0,7.090909004211426,8.042378425598145,4.359269618988037,0,0,1,66.63999938964844,51,18.5,0.36785799264907837,0.35555601119995117
MDA,0,0.5222222208976746,0,NA,7.377758979797363,NA,0,0,NA,NA,NA,NA,NA,NA
MDG,1,0.2222222238779068,0.949999988079071,4.454545497894287,6.835184574127197,6.28420877456665,0,1,1,57.5099983215332,82.5,23.299999237060547,0.570963978767395,0.2222220003604889
MEX,0,0.25555557012557983,4.199999966658652e-4,7.5,8.943767547607422,4.2626800537109375,0,1,1,72.18000030517578,31,19,0.37255001068115234,0.25555598735809326
MKD,0,0.4611110985279083,0,NA,8.061487197875977,NA,0,0,NA,NA,NA,NA,NA,NA
MLI,1,0.18888889253139496,0.940500020980835,4,6.56526517868042,7.9861650466918945,0,1,1,53.29999923706055,118,29.299999237060547,0,0.18888899683952332
MLT,0,0.39444443583488464,NA,7.2272725105285645,9.42706298828125,2.7911651134490967,0,0,1,NA,NA,NA,NA,NA
MMR,0,0.24444444477558136,0.6543599963188171,5.7727274894714355,NA,3.543853521347046,1,1,NA,NA,NA,NA,NA,NA
MNG,0,0.5111111402511597,0,7.363636493682861,7.299797534942627,NA,1,0,NA,NA,NA,NA,NA,NA
MOZ,1,0.2016666680574417,0.949999988079071,6.5,6.46146821975708,NA,0,1,NA,NA,NA,NA,NA,NA
MRT,1,0.2222222238779068,0.7599999904632568,NA,7.414572715759277,5.63478946685791,0,1,NA,NA,NA,NA,NA,NA
MUS,1,0.22411110997200012,0,NA,9.053686141967773,3.417726755142212,0,1,NA,NA,NA,NA,NA,NA
MWI,1,0.14777778089046478,0.949999988079071,6.818181991577148,6.46146821975708,NA,0,1,NA,NA,NA,NA,NA,NA
MYS,0,0.025555554777383804,0.23330999910831451,7.954545497894287,8.894258499145508,2.8735647201538086,1,1,1,72,11.399999618530273,26.700000762939453,0.7944070100784302,0.02555599994957447
NAM,1,0.24444444477558136,0.5795000195503235,NA,8.515191078186035,NA,0,1,NA,NA,NA,NA,NA,NA
NER,1,0.17777778208255768,0.940500020980835,5,6.733401775360107,5.991464614868164,0,1,1,48.5,115,28.399999618530273,0,0.17777800559997559
NGA,1,0.1111111119389534,0.949999988079071,5.545454502105713,6.8134446144104,7.602900505065918,0,1,1,50.08000183105469,81.0999984741211,26.650650024414062,0.09776899963617325,0.11111100018024445
NIC,0,0.14444445073604584,0.04399999976158142,5.2272725105285645,7.544332027435303,5.0955891609191895,0,1,1,67.86000061035156,43.400001525878906,26.633329391479492,0.6326860189437866,0.14444500207901
NLD,0,0.5811110734939575,0,10,9.896965980529785,NA,0,0,NA,NA,NA,NA,NA,NA
NOR,0,0.6888889074325562,0,9.954545021057129,10.023933410644531,NA,0,0,NA,NA,NA,NA,NA,NA
NPL,0,0.31111112236976624,0.04800000041723251,NA,6.937314033508301,NA,1,1,NA,NA,NA,NA,NA,NA
NZL,0,0.4555555582046509,0,9.727272987365723,9.756147384643555,2.1459312438964844,0,0,1,76.9000015258789,6.800000190734863,12.800000190734863,0.9594879746437073,0.4555560052394867
OMN,0,0.23333333432674408,0.6338199973106384,7.136363506317139,9.208338737487793,NA,1,0,NA,NA,NA,NA,NA,NA
PAK,0,0.3333333432674408,0.5375699996948242,6.045454502105713,7.352441310882568,3.610647678375244,1,1,1,63.95000076293945,74.0999984741211,23.5,0.09419599920511246,0.33333298563957214
PAN,0,0.10000000149011612,0.08004000037908554,5.909090995788574,8.836374282836914,5.0955891609191895,0,1,1,73.5999984741211,21.399999618530273,27.5,1,0.10000000149011612
PER,0,0.1111111119389534,5.000000237487257e-4,5.7727274894714355,8.396154403686523,4.2626800537109375,0,0,1,68.31999969482422,45,20.5,0.17320799827575684,0.11111100018024445
